Title,Display Title,File Name,Description,Modified On,Copyright Notes,Additional Notes,Year Published,Reviewed On,Active,Duplicatable,Filesize,Collection Type,Author,Rights Holder,Rights Statement,Library User,Education Level,Subject,Subcategory,Keywords,Resource Type,Format,Language
Biology Book 10th,Pirtûka Zindînasî (10),zanyarî 10.pdf,Ev pirtûk a beşa zindînasiyê ye,,,,,,True,False,36715266,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 10 | refa 10,Zindînasî ,,Lêkhatina kîmyayî ya gewdeyên heyînên zindî | Xwirektî li cem zindiyan | Valakirin li cem heyînên zindî | Bêhndan li cem heyînên zindî,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
"Arabic Language and Literature textbook for the first year of secondary school, national curriculum",كتاب اللغة العربية وآدابها للصف الأول الثانوي المنهاج الوطني,10-arabic.pdf,مادة اللغة العربية للصف العاشر - الكتاب المدرسي ,,,,2026,,True,False,15570602,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,اللغة العربية وآدابها,,المذاهب الأدبية | العصور الأدبية | أغراض شعرية | فن المقالة | إعلراب أدوات الشرط | إعراب أدوات الاستفهام,كتاب,PDF,العربية
Kurdish Language Book 10th Grade,Pirtûka Zimanê Kurdî (10),Zimanê kurdî 10.pdf,Ev pirtûk a beşa zimanê kurdî ye,,,,,,True,False,15935390,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 10 | Grade 10,Zimanê Kurdî,,"Xalbendî | Peyvsazî | Cihnav | Ravek, rayek û gerguhêzî | Dem, rawe û avanî",الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
The Book of Kurdish Literature - 10th Grade,Pirtûka Wêjeya Kurdî (10),WÊJEYA KURDÎ.pdf,Ev pirtûk a beşa wêjeya kurdî ye,,,,,,True,False,9130431,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 10 | Grade 10,Wêjeya Kurdî,,Derbasbûnek bo Wêjeyê | Zargotin | Zargotina kurdî | Wêjeya Kurdî ya Nivîskî | Wêjeya Cîhanî | Wêjeya yûnanî ya kevnar | yûnanî | Cureyên wêjeyê,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
"Visual and Aesthetic Art Education, First Year of Secondary School, National Curriculum",التربية الفنيّة البصريّة والجماليّة الصف الأول الثانوي المنهاج الوطني,10-art.pdf,مادة التربية الفنية للصف العاشر المنهاج الوطني,,,,2026,,True,False,33782739,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,التربية الفنية ,,منظور مكعّب | تفريغ أجزاء مكعّب | الإبداع المعماريّ | الواقعّية | التجريديّة الهندسيّة | الواقعية الرمزية | التصميم الصناعيّ,كتاب,PDF,اللغة العربية
English Language - 10th Grade,Pirtûka Zimanê Îngilîzî (10),English Language 10.pdf,Ev pirtûk a beşa zimanê îngilîzî ye,,,,,,True,False,10306373,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 10 | Grade 10,English Language,,Passive Voice |  conditionals | simple future |   past perfect |  Past simple |  past continuous | present perfect |  Present simple |  Present  continuous,الكتاب │ Pirtûk │ Book,PDF,English
"Chemistry textbook for the first year of secondary school, national curriculum",كتاب الكيمياء للصف الأول الثانوي المنهاج الوطني,10-sci-chemistry.pdf,كتاب الكيمياء الصف الأول الثانوي المنهاج الوطني,,,,2026,,True,False,66782128,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,الكيمياء,,حالات المادة والتغيّرات الفيزيائية والكيميائية | التفاعلات الكيميائية | المدارات الذرّية | الجدول الدوري للعناصر | دوريّة خاصيّات العناص | الروابط الكيميائية | التصاوغ وهندسة الجزيء | الصوديوم | الكلور | النتروجين | الحديد | الكبريت,PDF,PDF,اللغة العربية
Arabic Language Learning Book - 10th Grade,كتاب تعليم اللغة العربية - Pirtûka Fêrbûna Zimanê Erebî,Fêrbûna Zimanê Erebî.pdf,Ev pirtûk a beşa zimanê erebî ye,,,,,,True,False,2098396,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 10 | refa 10,Fêrbûna Zimanê Erebî | تعليم اللغة العربية,,,,, العربية | Arabic
"Physics textbook for the first year of secondary school, national curriculum",كتاب الفيزياء للصف الأول الثانوي المنهاج الوطني,Lit-Physics.pdf-G10.pdf,كتاب الفيزياء للصف الأول الثانوي المنهاج الوطني,,,,2026,,True,False,29005520,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,مادة الفيزياء,,الحركة   | الحركة المستقيمة | العمل والاستطاعة | قوانين نيوتن وتطبيقاتها | الكهرباء الساكنة | حقل كهربائي | الكمون | فرق الكمون,كتاب,PDF,اللغة العربية
"Information and Communication Technology textbook for the first year of secondary school, national curriculum",كتاب تكنولوجيا المعلومات والاتصالات للصف الأول الثانوي المنهاج الوطني,10-technology.pdf,كتاب تكنولوجيا المعلومات والاتصالات للصف الأول الثانوي المنهاج الوطني,,,,2026,,True,False,47746288,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,تكنولوجيا المعلومات والاتصالات,,التجارة الالكترونية | الاجهزة الخليوية | قواعد المعطيات | الخوارزميات والبرمجة | التكنولوجيا,كتاب,PDF,اللغة العربية
The Philosophy Book,Pirtûka Felsefeyê,felsefe.pdf,Ev pirtûk a beşa felsefeyê ye,,,,,,True,False,10774930,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 10 | refa 10,Felsefe ,,Rêgezên sereke yên hizira felsefeyî | Mijarên felsefeyî | Mijarên derûnnasiyê,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Mathematics Book - 11th Grade,Bîrkarî (11),Bîrkarî 11.pdf,Ev pirtûk a beşa bîrkarî ye,,,,,,True,False,15002344,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 11 | refa 11,Bîrkarî,,peyrew  | Dawî û Domdarî | daraştin | Bermecekirina Xêzikî | Sêgoşe | Peyhatî û Zincîr | Dibetî | matrêks | Gewde,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Sociology Book - 11th Grade,Pirtûka Civaknasiyê (11),Civaknasî 11.pdf,Ev pirtûk a beşa civaknasiyê ye,,,,,,True,False,9592249,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 11 | Grade 11,Civaknasî ,,"Avahiya civakî | Têkiliyên civakî  | Statû û rista civakî | Nirx û pîvanên civakî | Komên civakî | Têgiha jiyana civakî | Nasnameya civakî | Hişmendiya civakî | Rastiya civakî | Pîroziyên civakî | Lêkolîna zanist | Rêbaza dîrokî | Rêbaza dahûrandinê | Rêbaza hevrûkirinê | Alavên lêkolînê (çavdêrî û taqîkirin) | Alavên lêkolînê (hevdîtin û pirsname) | Guherîna civakî | Têgihên ku bi guherîna civakî re, têkildar in | Karîgeriyên guherîna civakî",الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
The History Book - 11th Grade,Pirtûka Dîrokê (11),Dîrok 11.pdf,Ev pirtûk a beşa dîrokê ye,,,,,,True,False,40786539,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,refa 11 | Grade 11 | Amadeyî 2, Dîrok,,Şaristaniyên Serdema Klasîk û Helenîstîk | Şaristaniyên Rojavayê  Anatoliyayê û Deryaya Reş |  Şaristaniyên Deşta Îranê û Rojhilata Dûr | Şaristanî û Gelên Ewropayê | Şaristanî û Gelên Amerîkayê | Şaristanî û Gelên Afrîkayê,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
"Mathematics, National Curriculum, Second Year of Secondary School",الرياضيات المنهاج الوطني للصف الثاني الثانوي,11-Lit-math.pdf,كتاب الرياضيات للصف الثاني الثانوي الأدبي,,,,2026,,True,False,32354101,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 11,الإحصاء والاحتمال,الرياضيات,نظرية ذي الحدين | الاحتمال | الإحصاء | رياضيات | الإحصاء والاحتمال,كتاب,PDF,العربية
English Language Book - 11th Grade,Pirtûka Zimanê Îngilîzî (11),English book 11.pdf,Ev pirtûk a beşa zimanê îngilîzî ye,,,,,,True,False,16865607,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 11 | 11 | refa 11,English Language | Zimanê Îngilîzî,, Learn English | Water | Fêrkirina zimanê Îngilîzî | A Tale of Hope in Hardship | Superstitions | Famous Landmarks in Syria | The Great Wall of China | Bullying: A Serious Problem |  The Future of Technology |  Blue Mission |  Treehouse Adventure |  The Beauty of Friendship |  Discrimination |  Robinson Crusoe,الكتاب │ Pirtûk │ Book,PDF,English | Îngilîzî
"Visual and Aesthetic Art Education for the Second Year of Secondary School, National Curriculum",التّربيةُ الفنّيةُ البصرّيةُ والجماليّةُ للصف الثاني الثانوي المنهاج الوطني,art-G11.pdf,كتاب التربية الفية لطلاب الثاني الثانوي,,,,2026,,True,False,13725208,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 11,الفنون الجميلة,,الخداع البصري بالأسود والأبيض | الفنان مأمون الحمصيّ | طبيعة صامتة | الفنان ليوناردو دافنشي | التصميم الصناعيّ | تكوين من نقطتي فرار | تصميم بصري )درج( | تشكيل بصري من أشكال هندسية | إبداع معماري حديث | فن الإستشراق,PDF | الكتاب,PDF,اللغة العربية
"Arabic Language and Literature for the Second Year of Secondary School, National Curriculum",اللُّغة العربيَّة وآداُبها للصف الثاني الثانوي المنهاج الوطني,11-Lit-arabic.pdf,كتاب اللغة العربية لطلاب الصف الثاني الثانوي,,,,2026,,True,False,12720526,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 11,اللغة العربية وقواعدها,,البحر المتقارب | لا النافية للجنس | عمل المصدر والمشتقات | أسلوب الإغراء والتحذير | بعض الأغراض البلاغيّة للإنشاء | فنّ القصّة القصيرة | المذهب الابداعي | الواقعيّة | فنّ المسرحيَّة | بين الصّوت والصّمت, كتاب,PDF,اللغة العربية
Geography Book - 11th Grade,Pirtûka Erdnîgariyê (11),Erdnîgarî 11.pdf,Ev pirtûk a beşa erdnîgariyê ye,,,,,,True,False,18667035,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Amadeyî 2,Erdnîgarî,,"Erdnîgariya mirovî, niştecih, zêdebûn û taybet | Erdnîgariya mirovî | niştecih | zêdebûn û taybet | Çavkaniyên xwezayî | Çalakiyên aborî | Şoreş û aboriya dîjîtalî | Destnîşankirina cihan | Kombûnên aborî yên herêmî | Erdnîgarî",الكتاب │ Pirtûk │ Book,,الكردية │ Kurdî │ Kurdish
"Biology and Earth Sciences for the second year of secondary school, national curriculum",علم الأحياء والأرض للصف الثاني الثانوي المنهاج الوطني,11-sci-science.pdf,كتاب علم الاحياء لطلاب الصف الثاني الثانوي ,,,,2026,,True,False,177223129,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 11,العلوم علم الاحياء,,المستحاثات | التركيب الضوئي | الفلزات  | الدارة الخلوية | الجينوم | الصانعات الخضراء | جهاز الدوران | الجهاز المناعي | التنفس   | تركيب البروتين في الخلية,كتاب,PDF,اللغة العربية
Philosophy Book - 11th Grade,Pirtûka Felsefeyê (11),Felsefe 11.pdf,Ev pirtûk a beşa felsefeyê ye,,,,,,True,False,1386993,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 11 | refa 11 | Amadeyî 2,Felsefe,,Felsefe li Mezopotamyayê | Felsefe li rojhilat | Felsefeya yûnanî | Vac (mentiq) | Mijarên derûnnasiyê (psîkolojî),الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
"Mathematics for the second year of secondary school, scientific branch, national curriculum",الرياضيات للصفي الثاني الثانوي الفرع العلمي المنهاج الوطني,11-math2.pdf,كتاب الرياضيات لطلاب الصف الثاني الثانوي,,,,2026,,True,False,80171795,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 11,الرياضيات  ,,الأشعة | احداثيات مركز الأبعاد المتناسبة | الزوايا الموجهة | النسب المثلثية | الضوء الهندسي والزوايا الموجهة | المعادلات المثلثية | المستقيم والجداء السلمي | بعد نقطة عن مستقيم,كتاب,PDF,اللغة العربية
"Information and Communication Technology textbook for the second year of secondary school, national curriculum",كتاب تكنولوجيا المعلومات والاتصالات للصف الثاني الثانوي المنهاج الوطني,11-technology.pdf,كتاب تكنولوجيا المعلومات والاتصالات لطلاب الصف الثاني الثانوي,,,,2026,,True,False,34244665,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 11,تكنولوجيا المعلومات والاتصالات,,قواعد المعطيات | استثمار الشبكة Lan في قواعد المعطيات | المصفوفات | التنسيقات في لغة Html | الوسائط المتعددة | تحويل الحاسوب إلى مُخدم | منطق الفرضيات | البرمجة المحمولة,كتاب,PDF,اللغة العربية
Physics Book - 11th Grade,Pirtûka Fîzîkê (11),Fîzîk 11.pdf,Ev pirtûk a beşa fîzîkê ye,,,,,,True,False,21150060,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Amadeyî 2 | refa 11 | Grade 11,Fîzîk,,Mîkanîk | Elektrîk | Şewq | Fîzîka nûklerî | Magnetîk,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Chemistry Book - 11th Grade,Pirtûka Kîmyayê (11),Kîmya 11.pdf,Ev pirtûk a beşa kîmyayê ye,,,,,,True,False,44984640,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Amadeyî 2 | refa 11 | Grade 11,Kîmya,,kîmya | Kîmyaya dahurandinî | Tabloya peryodîkê | Kîmyaya germahiyê | Kîmyaya Lebatî ,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Kurdish Language Book - 11th Grade,Pirtûka Zimanê Kurdî (11),Zimanê kurdî 11.pdf,Ev pirtûk a beşa zimanê kurdî ye,,,,,,True,False,1883959,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Amadeyî 2 | refa 11 | Grade 11,Zimanê Kurdî,,Xalbendî | hevalnav   | Cihnav | Dem û rawe | Cureyên hevokan,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Biology Book - 11th Grade,Pirtûka Zindînasî (11),zindînasî 11.pdf,Ev pirtûk a beşa zindînasî ye,,,,,,True,False,31937104,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Amadeyî 2 | refa 11 | Grade 11,Zindînasî ,,Pêkhateyên heyînên zindî û  erkên wan | Parvebûna şaneyan | Bertekdayîn li cem heyînên  zindî | Veguhastin li cem heyînên  zindî,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
The Book of Kurdish Literature - 11th Grade,Pirtûka Wêjeya Kurdî (11),WÊJEYA KURDÎ - 11.pdf,Ev pirtûk a beşa wêjeya kurdî ye,,,,,,True,False,6572104,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,Grade 11 | Amadeyî 2 | refa 11,Wêjeya Kurdî,,helbest  | Dibistanên wêjeyî | Wêjeya kurdî ya nûjen | Wêjeya Cîhanî - Persî | wêjeya kurdî,الكتاب │ Pirtûk │ Book,PDF,الكردية │ Kurdî │ Kurdish
Arabic Language Book - 11th Grade,Pirtûka Zimanê Erebî (11),تعُّليُم ُ الُّلغة العربية.pdf,Ev pirtûk a beşa zimanê erebî ye,,,,,,True,False,2909164,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,المرحلة الثانوية | الثاني الثانوي | Amadeyî 2 | refa 11 | Grade 11,Fêrbûna Zimanê Erebî | تعليم  اللغة العربية,,الحاَل | البدَل | تعبير | المعارف | أسماء الإشارة | الاسم الموصول | التمييز | أسلوب الاستفهام,الكتاب │ Pirtûk │ Book,PDF, العربية | Arabic
"Mathematics textbook, part two, for the second year of secondary school, national curriculum",كتاب الرياضيات الجزء الثاني للصف الثاني الثانوي المنهاج الوطني,12-sci-math-2.pdf,كتاب الرياضيات الجزء الثاني لطلاب الصف الثاني الثانوي المنهاج الوطني,,,,2026,,True,False,209906874,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 12,الرياضيات,,المسافة في الفراغ | المعادلة الديكارتية لمستوٍ | المعادة التربيعية ذات الأمثال الحقيقية | الاحتمالات المشروطة | المتحولات العشوائية | الشكل الأسي لعدد عقدي,كتاب,PDF,اللغة العربية
Emar English Series 10 workbook,عمار سلسلة إنجليزية  كتاب التمارين10 ,10-English-Wb.pdf,كتاب مادة اللغة الانكليزية لطلاب الصف العاشر الثانوي,,,,,,True,False,19302084,North and East Syria Educational Collection,AANES,AANES,جميع الحقوق محفوظة – تم منح الإذن للمشاركة في مكتبة سولر سبل للأهداف التعليمية,الطالب│Xwendekar│Student,الصف 10,انكليزي كتاب التمارين,,المضارع المستمر | المضارع المستمر أو المضارع البسيط. | الماضي البسيط والماضي المستمر | الماضي المستمر | الماضي البسيط | past continuous or simple,,,
Chicken Health Exam,Chicken Health Exam,Chicken Health Exam FINAL.mp4,"In this video, we will see what a healthy chicken looks like, how to know when something is wrong, and what to do if you spot a problem.",,,,2026,,True,False,112398076,Agriculture,Shaela Patel,SolarSPELL,CC BY-NC,Peace Corps Volunteer | Farmer | Extension Workers,Career/Technical,Animal Health,Small Animal,Livestock Health | Poultry farming | Chicken | Veterinary Medicine,Video,Mp4,English
Language Sciences- Part One- Grade 08 ,علوم اللغة - الجزء الأول - الصف الثامن,30085495-Arabic-Language-G8.pdf,This is an Arabic language textbook for eighth-grade students. | هذا كتاب مدرسي للغة العربية لطلاب الصف الثامن,,,,2015,,True,False,1558595,Middle East Educational Library,وزارة التربية والتعليم العالي الفلسطينية |  The Palestinian Ministry of Education and Higher Education , The Palestinian Ministry of Education and Higher Education  | وزارة التربية والتعليم العالي الفلسطينية, Creative Commons | CC BY-NC-SA 4.0 | رخصة المشاع الإبداعي: ​​النسبة,Student | طالب | Teacher  | مدرس,Grade 08 | الصف الثامن,Arabic | اللغة العربية,فنون اللغة | Language Arts ,Sentence Structure | بنية الجملة | Grammar | القواعد | Writing | الكتابة | Reading | القراءة | Verbs  | الأفعال,Textbook | كتاب دراسي,PDF,Arabic |  العربية
Language Sciences – Part Two– Grade 08,علوم اللغة – الجزء الثاني – الصف الثامن,30085508-Arabic-Language-G8-p2.pdf,This is part 2 of the Arabic Language studies textbook for eighth-grade students. | هذا هو الجزء الثاني من كتاب دراسات اللغة العربية لطلاب الصف الثامن.,,,,2015,,True,False,3021280,,,,,,,,,,,,
Language Sciences – Part One– Grade 09,علوم اللغة – الجزء الأول – الصف التاسع,30085492-arabic-G9.pdf,This is part 1 of the Arabic Language studies textbook for Ninth-grade students. | هذا هو الجزء الأول من كتاب دراسات اللغة العربية لطلاب الصف التاسع.,,,,2015,,True,False,983492,,,,,,,,,,,,
Language Sciences – Part Two– Grade 09,علوم اللغة – الجزء الثاني – الصف التاسع,30085527-Arabic-Language-G9-p2.pdf,This is part 2 of the Arabic Language studies textbook for Ninth-grade students. | هذا هو الجزء الثاني من كتاب دراسات اللغة العربية لطلاب الصف التاسع.,,,,2015,,True,False,3506084,,,,,,,,,,,,
Language Sciences – Grade 10,علوم اللغة – الصف العاشر,30085554-Arabic-Language-G10.pdf,This is an Arabic Language studies textbook for tenth-grade students. | هذا كتاب دراسي للغة العربية لطلاب الصف العاشر.,,,,2015,,True,False,4788212,,,,,,,,,,,,
Chicken Diseases and How to Prevent Them,Chicken Diseases and How to Prevent Them,Chicken Diseases and How to Prevent Them FINAL.mp4,Learn about common chicken diseases in East Africa and how to prevent them in your flock.,,,,2026,,True,False,242985965,Agriculture,Shaela Patel,SolarSPELL,CC BY-NC,Farmer | Extension Workers | Peace Corps Volunteer,Career/Technical,Animal Health,Small Animal,Chicken | diseases | Veterinary Medicine | Livestock Health,Video,Mp4,English
Goat Diseases and How to Prevent Them,Goat Diseases and How to Prevent Them,Goat Diseases and How to Prevent Them FINAL.mp4,"Learn about common goat diseases, signs, and how to prevent them.",,,,2026,,True,False,197928256,Agriculture,Shaela Patel,SolarSPELL,CC BY-NC,Farmer | Extension Workers | Peace Corps Volunteer,Career/Technical,Animal Health,Large Animal,Goats | Sheep | Animal health | Livestock Health | Veterinary Medicine,Video,Mp4,English
Menstrual Hygiene Workshop,Menstrual Hygiene Workshop,Menstrual_Hygiene_Workshop.mp4,A video that provides information about menstrual hygiene and menstrual health practices to support awareness and personal hygiene.,,,,2023,,True,False,13000857,General Health Library | General Educational Library,Amrita Vidyalayam Ahmedabad,Amrita Vidyalayam Ahmedabad,Creative Commons,Community Member | Student | Instructor | Healthcare Professional,Middle School Student | Secondary School Student | Adult Education,Health & Safety,Hygiene,Menstrual Health | menstruation | Menstrual Hygiene | personal hygiene | health awareness | Reproductive Health,Video,Mp4,English
Empower Yourself: A Guide to Making Sustainable Cloth Pads at Home,Empower Yourself: A Guide to Making Sustainable Cloth Pads at Home,Guide_to_Making_Sustainable_Cloth_Pads_at_Home.mp4,A video that provides guidance for making reusable cloth menstrual pads at home using sustainable materials.,,,,,,True,False,2671621,,,,,,,,,,,,
Pregnancy Exercises in the Second Trimester,Pregnancy Exercises in the Second Trimester,Pregnancy_Exercises_in_the_Second_Trimester.mp4,A video that povides information about exercises during the second trimester of pregnancy.,,,,,,True,False,2950307,General Health Library | General Educational Library,Kaiser Permanente,Kaiser Permanente,Creative Commons,Community Member | Healthcare Professional,Adult Education,Health & Safety,Physical Activity,Pregnancy | healthy pregnancy  | Exercise  | Exercices | trimester | second trimester | Prenatal | Prenatale Care | Prenatal exercise | Physical activity | Maternal health | prenatal health,Video,Mp4,English
Goat Health Exam,Goat Health Exam,Goat Health Exam FINAL.mp4,"Learn what a healthy goat looks like, how to know when something is wrong, and when to call a veterinarian.",,,,2026,,True,False,150762635,Agriculture,Shaela Patel,SolarSPELL,CC BY-NC,Farmer | Extension Workers | Peace Corps Volunteer,Career/Technical,Animal Health,Large Animal,Goats | Animal health | Veterinary Medicine | Livestock Health | Sheep,Video,Mp4,English
Common Goat Health Problems,Common Goat Health Problems,Common Goat Health Problems FINAL.mp4,Learn about common goat health problems in small farms and how to prevent them.,,,,2026,,True,False,118308736,Agriculture,Shaela Patel,SolarSPELL,CC BY-NC,Farmer | Peace Corps Volunteer | Extension Workers,Career/Technical,Animal Health,Large Animal,Goats | Livestock Health | Veterinary Medicine | Sheep,Video,Mp4,English
Common Chicken Health Problems,Common Chicken Health Problems,Common Chicken Health Problems FINAL.mp4,Learn about common chicken health problems in small farms and how to fix them.,,,,2026,,True,False,122953454,Agriculture,Shaela Patel,SolarSPELL,CC BY-NC,Farmer | Extension Workers | Peace Corps Volunteer,Career/Technical,Animal Health,Small Animal,Chicken | Veterinary Medicine | Livestock Health,Video,Mp4,English
